issue,Gambit_Costume,Gambit_Non-Costume,Magneto_Costume,Magneto_Non-Costume,Nightcrawler_Costume,Nightcrawler_Non-Costume,Storm_Costume,Storm_Non-Costume,Wolverine_Costume,Wolverine_Non-Costume
222,3.9859936955307224e-5,1.6315365886472536e-6,-0.08750190258543415,1.5305487023009883,-0.2387502488736285,0.09726243758040067,21.051415962303913,15.737115429709654,15.346575692447551,1.4370784649738775
223,1.380300490493041e-5,8.721643602292882e-7,-0.16717591306160942,1.0971546367451657,-0.1885812344926483,0.1667368610693997,18.23012197402502,17.61433743838803,17.232114575224443,1.9293855404692992
224,-3.3668929721814344e-5,-6.011350994205203e-7,-0.19463426390708574,0.7233485663267039,-0.1384689077036054,0.2615284145190903,14.878215404586053,19.235309721477126,19.18637364480539,2.701198259971399
225,-1.0888607292224015e-4,-3.0227694684584925e-6,-0.18799260493147477,0.4239930074342531,-0.09360551202669536,0.3647363370435475,11.581421534637107,20.074052965033868,20.980382855783997,3.700576909814038
226,-2.1748733509524982e-4,-6.611521072160103e-6,-0.16280331396751868,0.20290481694353746,-0.05713075458457911,0.45557464218043403,8.929529795739464,19.692473844043,22.351978452896265,4.842224504796871
227,-3.619431088550911e-4,-1.1498227251984816e-5,-0.1291087019197456,0.05152143710821604,-0.029456786944109737,0.5025436169161104,7.140086627982268,18.188676386670327,23.011761573697665,5.897718058659649
228,-5.412973364813693e-4,-1.7708055323028924e-5,-0.09463599066933055,-0.042186102160629145,-0.010099726064058161,0.48240136379122267,6.279727100295883,15.837320520879361,22.756166380240835,6.650747741082056
229,-7.440566766997743e-4,-2.4931437478752056e-5,-0.06336211293224946,-0.09173300570016195,0.002280893973324979,0.41565097411486407,6.183683788447641,13.08309242064339,21.75219423974774,7.076582346563417
230,-9.506769024879207e-4,-3.2593632114484e-5,-0.037864627922198066,-0.11033842066591848,0.009223034346828014,0.3306827193285112,6.626043710022457,10.355025742122832,20.25244832170237,7.2585485277178945
231,-0.0011199475273850376,-3.93939375546718e-5,-0.01887389000894983,-0.10855102873867749,0.012198054402874714,0.24369060263472933,7.36771414303861,7.849517824216891,18.48137179946751,7.520625744799366
232,-0.0011970869605349049,-4.3563337056686235e-5,-0.006521331299095103,-0.09546128857981188,0.012571808906557189,0.16605185100123132,8.17565348612355,5.6992586659613815,16.61939220707411,8.188807342929609
233,-0.001094695452937889,-4.218551368047563e-5,-3.898996904139469e-4,-0.07699723224782781,0.011354736130005458,0.10207285469523238,8.854204359908097,4.014745224199815,14.699034517346927,9.356489399062282
234,-7.092448001349417e-4,-3.1750073138496554e-5,7.737014752738298e-5,-0.057735793886239874,0.009385750253096846,0.05354780916271374,9.277866417415,2.870549246263627,12.745329071856117,10.985647863502294
